formula_pretty,material_id,band_gap,formation_energy_per_atom,energy_above_hull,selected
As3(HO2)5,mp-27404,3.0666,-1.45952818375,0.0,True
AlHO2,mp-23807,5.6572000000000005,-2.612379010625,0.0343226712499999,True
Y(HO)3,mp-24076,3.751,-2.2306818854166663,0.0200999532142862,True
Ca(HO)2,mp-23879,4.1119,-2.1661889894999997,0.0,True
Gd(HO)3,mp-24073,0.2498,-2.2113983123214283,0.0169443532142867,True
Ca(HO)2,mp-643392,4.284999999999999,-2.1308063729999995,0.0353826164999997,True
ErHO2,mp-504801,3.9885,-3.027015950625,0.0,True
FeHO2,mp-605437,0.0,-1.5503657537499995,0.0,True
Al(HO)3,mp-985293,5.8109,-2.037068081964286,0.024784602142855,True
LaHO,mp-28255,2.4315,-2.5113806129166663,0.0,True
MnHO2,mp-29159,0.0,-1.7322614376077592,0.0076858324218926,True
YHO2,mp-626151,4.0468,-2.9773277022916664,0.0,True
MnHO2,mp-626270,0.0,-1.7355104069827585,0.0044368630468936,True
Pr(HO)3,mp-625447,3.7453,-2.20244434375,0.0,True
Al(HO)3,mp-27540,5.0975,-2.044845709464286,0.0170069746428556,True
Nd(HO)3,mp-625397,3.7396,-2.211047908392857,4.775071428309019e-05,True
Sr(HO)2,mp-27425,4.1708,-2.1166849798333325,0.0,True
Mn(HO)2,mp-23789,1.9589,-1.5589291880862064,0.0022452815000004,True
La(HO)3,mp-625394,3.7164,-2.2380125644642868,0.0,True
NdHO,mp-1190994,2.1152999999999995,-2.430129882083333,0.0,True
Er(HO)3,mp-24645,3.7326,-2.2494747466071425,0.0297003767857129,True
AlHO2,mp-625152,5.546000000000001,-2.6408095512500003,0.0058921306249999,True
Ho(HO)3,mp-24075,3.6657,-2.248046359464286,0.0249957089285706,True
FeHO2,mp-696580,1.4523,-1.5135571724999997,0.0368085812499998,True
Al(HO)3,mp-560572,4.9472000000000005,-2.035464491071429,0.0263881930357134,True
Al(HO)3,mp-560196,5.2187,-2.031975106964285,0.0298775771428561,True
LiHO,mp-23856,4.0057,-1.7801502823611106,0.0,True
